Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,
0,-10.9,16.025,-16.665,18.9,15.275,-16.665,18.9,-12.275,-16.665,-10.9,-13.025,-16.665,0,
0.1,-10.9492,16.5757,-16.665,18.8508,15.8257,-16.665,18.8508,-11.7243,-16.665,-10.9492,-12.4743,-16.665,0,
0.2,-11.0958,17.1111,-16.665,18.7042,16.3611,-16.665,18.7042,-11.1889,-16.665,-11.0958,-11.9389,-16.665,0,
0.3,-11.336,17.616,-16.665,18.464,16.866,-16.665,18.464,-10.684,-16.665,-11.336,-11.434,-16.665,0,
0.4,-11.6639,18.0761,-16.665,18.1361,17.3261,-16.665,18.1361,-10.2239,-16.665,-11.6639,-10.9739,-16.665,0,
0.5,-12.0716,18.4784,-16.665,17.7284,17.7284,-16.665,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
0.6,-12.0716,18.4784,-16.665,17.7284,17.7284,-16.665,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
0.7,-12.0716,18.4784,-16.665,17.7284,17.7284,-15.765,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
0.8,-12.0716,18.4784,-16.665,17.7284,17.7284,-14.865,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
0.9,-12.0716,18.4784,-16.665,17.7284,17.7284,-13.965,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1,-12.0716,18.4784,-16.665,17.7284,17.7284,-13.065,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.1,-12.0716,18.4784,-16.665,17.7284,17.7284,-12.165,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.2,-12.0716,18.4784,-16.665,17.7284,17.7284,-11.265,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.3,-12.0716,18.4784,-16.665,17.7284,17.7284,-10.365,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.4,-12.0716,18.4784,-16.665,17.7284,17.7284,-9.465,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.5,-12.0716,18.4784,-16.665,17.7284,17.7284,-8.565,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.6,-12.0716,18.4784,-16.665,17.7284,20.7284,-7.665,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,Leg 2 going down
1.7,-12.0716,18.4784,-16.665,17.7284,20.7284,-8.565,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.8,-12.0716,18.4784,-16.665,17.7284,20.7284,-9.465,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
1.9,-12.0716,18.4784,-16.665,17.7284,20.7284,-10.365,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2,-12.0716,18.4784,-16.665,17.7284,20.7284,-11.265,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.1,-12.0716,18.4784,-16.665,17.7284,20.7284,-12.165,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.2,-12.0716,18.4784,-16.665,17.7284,20.7284,-13.065,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.3,-12.0716,18.4784,-16.665,17.7284,20.7284,-13.965,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.4,-12.0716,18.4784,-16.665,17.7284,20.7284,-14.865,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.5,-12.0716,18.4784,-16.665,17.7284,20.7284,-15.765,17.7284,-9.82157,-16.665,-12.0716,-10.5716,-16.665,0,
2.6,-12.5489,18.8111,-16.665,17.2511,21.0611,-16.665,17.2511,-9.48893,-16.665,-12.5489,-10.2389,-16.665,0,
2.7,-13.084,19.064,-16.665,16.716,21.314,-16.665,16.716,-9.23597,-16.665,-13.084,-9.98597,-16.665,0,
2.8,-13.6639,19.2292,-16.665,16.1361,21.4792,-16.665,16.1361,-9.07077,-16.665,-13.6639,-9.82077,-16.665,0,
2.9,-14.2743,19.3008,-16.665,15.5257,21.5508,-16.665,15.5257,-8.99925,-16.665,-14.2743,-9.74925,-16.665,0,
3,-14.9,19.275,-16.665,14.9,21.525,-16.665,14.9,-9.025,-16.665,-14.9,-9.775,-16.665,0,
3.1,-15.5257,19.1508,-16.665,14.2743,21.4008,-16.665,14.2743,-9.14925,-16.665,-15.5257,-9.89925,-16.665,0,
3.2,-16.1361,18.9292,-16.665,13.6639,21.1792,-16.665,13.6639,-9.37077,-16.665,-16.1361,-10.1208,-16.665,0,
3.3,-16.716,18.614,-16.665,13.084,20.864,-16.665,13.084,-9.68597,-16.665,-16.716,-10.436,-16.665,0,
3.4,-17.2511,18.2111,-16.665,12.5489,20.4611,-16.665,12.5489,-10.0889,-16.665,-17.2511,-10.8389,-16.665,0,
3.5,-17.7284,17.7284,-16.665,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
3.6,-17.7284,17.7284,-16.665,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
3.7,-17.7284,17.7284,-15.765,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
3.8,-17.7284,17.7284,-14.865,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
3.9,-17.7284,17.7284,-13.965,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4,-17.7284,17.7284,-13.065,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.1,-17.7284,17.7284,-12.165,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.2,-17.7284,17.7284,-11.265,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.3,-17.7284,17.7284,-10.365,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.4,-17.7284,17.7284,-9.465,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.5,-17.7284,17.7284,-8.565,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.6,-17.7284,20.7284,-7.665,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,Leg one going down
4.7,-17.7284,20.7284,-8.565,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.8,-17.7284,20.7284,-9.465,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
4.9,-17.7284,20.7284,-10.365,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5,-17.7284,20.7284,-11.265,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.1,-17.7284,20.7284,-12.165,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.2,-17.7284,20.7284,-13.065,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.3,-17.7284,20.7284,-13.965,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.4,-17.7284,20.7284,-14.865,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.5,-17.7284,20.7284,-15.765,12.0716,19.9784,-16.665,12.0716,-10.5716,-16.665,-17.7284,-11.3216,-16.665,0,
5.6,-18.1361,20.1761,-16.665,11.6639,19.4261,-16.665,11.6639,-11.1239,-16.665,-18.1361,-11.8739,-16.665,0,
5.7,-18.464,19.566,-16.665,11.336,18.816,-16.665,11.336,-11.734,-16.665,-18.464,-12.484,-16.665,0,
5.8,-18.7042,18.9111,-16.665,11.0958,18.1611,-16.665,11.0958,-12.3889,-16.665,-18.7042,-13.1389,-16.665,0,
5.9,-18.8508,18.2257,-16.665,10.9492,17.4757,-16.665,10.9492,-13.0743,-16.665,-18.8508,-13.8243,-16.665,0,
6,-18.9,17.525,-16.665,10.9,16.775,-16.665,10.9,-13.775,-16.665,-18.9,-14.525,-16.665,0,
6.1,-18.8508,16.8243,-16.665,10.9492,16.0743,-16.665,10.9492,-14.4757,-16.665,-18.8508,-15.2257,-16.665,0,
6.2,-18.7042,16.1389,-16.665,11.0958,15.3889,-16.665,11.0958,-15.1611,-16.665,-18.7042,-15.9111,-16.665,0,
6.3,-18.464,15.484,-16.665,11.336,14.734,-16.665,11.336,-15.816,-16.665,-18.464,-16.566,-16.665,0,
6.4,-18.1361,14.8739,-16.665,11.6639,14.1239,-16.665,11.6639,-16.4261,-16.665,-18.1361,-17.1761,-16.665,0,
6.5,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-16.665,0,
6.6,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-16.665,0,
6.7,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-15.765,0,
6.8,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-14.865,0,
6.9,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-13.965,0,
7,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-13.065,0,
7.1,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-12.165,0,
7.2,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-11.265,0,
7.3,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-10.365,0,
7.4,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-9.465,0,
7.5,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-17.7284,-8.565,0,
7.6,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-5.665,0,Leg 4 going down
7.7,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-6.165,0,
7.8,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-6.665,0,
7.9,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-7.165,0,
8,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-7.665,0,
8.1,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-8.165,0,
8.2,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-8.665,0,
8.3,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-9.165,0,
8.4,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-9.665,0,
8.5,-17.7284,14.3216,-16.665,12.0716,13.5716,-16.665,12.0716,-16.9784,-16.665,-17.7284,-14.7284,-10.165,0,
8.6,-17.2511,13.8389,-16.665,12.5489,13.0889,-16.665,12.5489,-17.4611,-16.665,-17.2511,-15.2111,-10.665,0,
8.7,-16.716,13.436,-16.665,13.084,12.686,-16.665,13.084,-17.864,-16.665,-16.716,-15.614,-10.665,0,
8.8,-16.1361,13.1208,-16.665,13.6639,12.3708,-16.665,13.6639,-18.1792,-16.665,-16.1361,-15.9292,-10.665,0,
8.9,-15.5257,12.8992,-16.665,14.2743,12.1492,-16.665,14.2743,-18.4008,-16.665,-15.5257,-16.1508,-10.665,0,
9,-14.9,12.775,-16.665,14.9,12.025,-16.665,14.9,-18.525,-16.665,-14.9,-16.275,-10.665,0,
9.1,-14.2743,12.7492,-16.665,15.5257,11.9992,-16.665,15.5257,-18.5508,-16.665,-14.2743,-16.3008,-10.665,0,
9.2,-13.6639,12.8208,-16.665,16.1361,12.0708,-16.665,16.1361,-18.4792,-16.665,-13.6639,-16.2292,-10.665,0,
9.3,-13.084,12.986,-16.665,16.716,12.236,-16.665,16.716,-18.314,-16.665,-13.084,-16.064,-10.665,0,
9.4,-12.5489,13.2389,-16.665,17.2511,12.4889,-16.665,17.2511,-18.0611,-16.665,-12.5489,-15.8111,-10.665,0,
9.5,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-16.665,-12.0716,-15.4784,-10.665,0,
9.6,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-16.665,-12.0716,-15.4784,-10.665,0,
9.7,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-15.765,-12.0716,-15.4784,-10.665,0,
9.8,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-14.865,-12.0716,-15.4784,-10.665,0,
9.9,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-13.965,-12.0716,-15.4784,-10.665,0,
10,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-13.065,-12.0716,-15.4784,-10.665,0,
10.1,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-12.165,-12.0716,-15.4784,-10.665,0,
10.2,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-11.265,-12.0716,-15.4784,-10.665,0,
10.3,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-10.365,-12.0716,-15.4784,-10.665,0,
10.4,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-9.465,-12.0716,-15.4784,-10.665,0,
10.5,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-17.7284,-8.565,-12.0716,-15.4784,-10.665,0,
10.6,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-5.665,-12.0716,-15.4784,-10.665,0,Leg 3 going down
10.7,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-6.165,-12.0716,-15.4784,-10.665,0,
10.8,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-6.665,-12.0716,-15.4784,-10.665,0,
10.9,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-7.165,-12.0716,-15.4784,-10.665,0,
11,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-7.665,-12.0716,-15.4784,-10.665,0,
11.1,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-8.165,-12.0716,-15.4784,-10.665,0,
11.2,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-8.665,-12.0716,-15.4784,-10.665,0,
11.3,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-9.165,-12.0716,-15.4784,-10.665,0,
11.4,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-9.665,-12.0716,-15.4784,-10.665,0,
11.5,-12.0716,13.5716,-16.665,17.7284,12.8216,-16.665,17.7284,-14.7284,-10.165,-12.0716,-15.4784,-10.665,0,
11.6,-11.6639,13.9739,-16.665,18.1361,13.2239,-16.665,18.1361,-14.3261,-10.665,-11.6639,-15.0761,-10.665,0,
11.7,-11.336,14.434,-16.665,18.464,13.684,-16.665,18.464,-13.866,-10.665,-11.336,-14.616,-10.665,0,
11.8,-11.0958,14.9389,-16.665,18.7042,14.1889,-16.665,18.7042,-13.3611,-10.665,-11.0958,-14.1111,-10.665,0,
11.9,-10.9492,15.4743,-16.665,18.8508,14.7243,-16.665,18.8508,-12.8257,-10.665,-10.9492,-13.5757,-10.665,0,
