Home to Gait 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note:  units of X, Y, and Z are inches",,,,,,,,,,,,,
Stride (inches):,13,,,,,,,,,,,,
Stance (inches):,34,,,,,,,,,,,,
Duty cycle :,80%,,,,,,,,,,,,
Total step cycle time (sec):,4,,,,,,,,,,,,
Robot speed (in/0.1 sec),4.0625,,,,,,,,,,,,
Number of steps:,71,,,,,,,,,,,,
Home position Z,-14.665,,,,,,,,,,,,
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,Description
0.00,-14.900,14.900,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.665,-14.900,-14.900,-14.665,0.0,Home position
0.10,-14.900,14.900,-15.000,14.900,14.900,-14.665,14.900,-14.900,-14.000,-14.900,-14.900,-14.665,0.0,tilt chassis down on leg 3 corner and up on leg 1 corner
0.20,-14.900,14.900,-15.500,14.900,14.900,-14.665,14.900,-14.900,-13.500,-14.900,-14.900,-14.665,0.0,
0.30,-14.900,14.900,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,chassis is tilted down on leg 3 and up on leg 1 corner
0.40,-14.900,14.900,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,lift leg 1 and begin move to Gait 1 position
0.50,-15.400,15.400,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.60,-16.000,16.000,-16.000,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.70,-16.500,16.500,-15.250,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,
0.80,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-13.000,-14.900,-14.900,-14.665,0.0,leg 1 is in Gait 1 position
0.90,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-13.600,-14.900,-14.900,-14.665,0.0,return chassis to level
1.00,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.200,-14.900,-14.900,-14.665,0.0,
1.10,-17.000,17.000,-14.665,14.900,14.900,-14.665,14.900,-14.900,-14.665,-14.900,-14.900,-14.665,0.0,chassis is level & Leg 1 is in Gait 1 position
1.20,-17.000,17.000,-14.000,14.900,14.900,-14.665,14.900,-14.900,-15.000,-14.900,-14.900,-14.665,0.0,tilt chassis down on leg 1 corner and up on leg 3 corner
1.30,-17.000,17.000,-13.500,14.900,14.900,-14.665,14.900,-14.900,-15.500,-14.900,-14.900,-14.665,0.0,
1.40,-17.000,17.000,-13.000,14.900,14.900,-14.665,14.900,-14.900,-16.000,-14.900,-14.900,-14.665,0.0,chassis is tilted down on leg 1 corner
1.50,-17.000,17.000,-13.000,14.900,14.900,-14.665,15.400,-15.200,-16.000,-14.900,-14.900,-14.665,0.0,lift leg 3 and move to Gait 1 position
1.60,-17.000,17.000,-13.000,14.900,14.900,-14.665,16.000,-15.500,-15.500,-14.900,-14.900,-14.665,0.0,
1.70,-17.000,17.000,-13.000,14.900,14.900,-14.665,16.500,-15.900,-15.000,-14.900,-14.900,-14.665,0.0,
1.80,-17.000,17.000,-13.000,14.900,14.900,-14.665,17.000,-16.188,-14.800,-14.900,-14.900,-14.665,0.0,
1.90,-17.000,17.000,-13.000,14.900,14.900,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,0.0,leg 3 is in Gait 1 position
2.00,-17.000,17.000,-13.600,14.900,14.900,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,0.0,return chassis to level position
2.10,-17.000,17.000,-14.200,14.900,14.900,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,0.0,
2.20,-17.000,17.000,-14.665,14.900,14.900,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,0.0,chassis is level and legs 1 and 3 are in Gait 1 position
2.30,-17.000,17.000,-14.665,14.900,14.900,-15.000,17.000,-16.188,-14.665,-14.900,-14.900,-14.000,0.0,tilt chassis down on leg 4 corner and up on leg 2 corner
2.40,-17.000,17.000,-14.665,14.900,14.900,-15.500,17.000,-16.188,-14.665,-14.900,-14.900,-13.500,0.0,
2.50,-17.000,17.000,-14.665,14.900,14.900,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,chassis is tilted down on leg 4 and up on leg 2 corner
2.60,-17.000,17.000,-14.665,15.000,14.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,lift leg 2 and move to Gait 1 position
2.70,-17.000,17.000,-14.665,15.200,14.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
2.80,-17.000,17.000,-14.665,15.400,13.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
2.90,-17.000,17.000,-14.665,15.600,13.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.00,-17.000,17.000,-14.665,15.800,12.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.10,-17.000,17.000,-14.665,16.000,12.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.20,-17.000,17.000,-14.665,16.200,11.500,-15.500,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.30,-17.000,17.000,-14.665,16.400,11.000,-15.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.40,-17.000,17.000,-14.665,16.600,10.500,-14.800,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.50,-17.000,17.000,-14.665,16.800,10.000,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.60,-17.000,17.000,-14.665,17.000,9.500,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.70,-17.000,17.000,-14.665,17.000,9.000,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,
3.80,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,0.0,Leg 2 is in Gait 1 position
3.90,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.600,0.0,return chassis to level position
4.00,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.200,0.0,
4.10,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,0.0,"chassis is level, legs 1,2,and 3 are in Gait 1 position"
4.20,-17.000,17.000,-14.665,17.000,8.875,-14.000,17.000,-16.188,-14.665,-14.900,-14.900,-15.000,0.0,tilt chassis down on leg 2 corner and up on leg 4 corner
4.30,-17.000,17.000,-14.665,17.000,8.875,-13.500,17.000,-16.188,-14.665,-14.900,-14.900,-15.500,0.0,
4.40,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-14.900,-14.900,-16.000,0.0,chassis is tilted down on leg 2 and up on leg 4 corner
4.50,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.100,-14.500,-16.000,0.0,lift leg 4 and move to Gait 1 position
4.60,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.300,-14.000,-16.000,0.0,
4.70,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.500,-13.500,-16.000,0.0,
4.80,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.700,-13.000,-16.000,0.0,
4.90,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.900,-12.500,-16.000,0.0,
5.00,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.100,-12.000,-16.000,0.0,
5.10,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.300,-11.500,-16.000,0.0,
5.20,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.500,-11.000,-16.000,0.0,
5.30,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.700,-10.500,-16.000,0.0,
5.40,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.900,-10.000,-15.800,0.0,
5.50,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-9.500,-15.600,0.0,
5.60,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-9.000,-15.300,0.0,
5.70,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.500,-15.000,0.0,
5.80,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.200,-14.665,0.0,
5.90,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,0.0,Leg 4 is in Gait 1 position
6.00,-17.000,17.000,-14.665,17.000,8.875,-13.600,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,0.0,return chassis to level position
6.10,-17.000,17.000,-14.665,17.000,8.875,-14.200,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,0.0,
6.20,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,0.0,chassis is level and all legs are in Gait 1 x & y position
6.30,-17.000,17.000,-14.800,17.000,8.875,-14.800,17.000,-16.188,-14.800,-17.000,-8.063,-14.800,0.0,raise chassis to Gait 1 z position
6.40,-17.000,17.000,-14.900,17.000,8.875,-14.900,17.000,-16.188,-14.900,-17.000,-8.063,-14.900,0.0,
6.50,-17.000,17.000,-15.000,17.000,8.875,-15.000,17.000,-16.188,-15.000,-17.000,-8.063,-15.000,0.0,
6.60,-17.000,17.000,-15.100,17.000,8.875,-15.100,17.000,-16.188,-15.100,-17.000,-8.063,-15.100,0.0,
6.70,-17.000,17.000,-15.200,17.000,8.875,-15.200,17.000,-16.188,-15.200,-17.000,-8.063,-15.200,0.0,
6.80,-17.000,17.000,-15.300,17.000,8.875,-15.300,17.000,-16.188,-15.300,-17.000,-8.063,-15.300,0.0,
6.90,-17.000,17.000,-15.400,17.000,8.875,-15.400,17.000,-16.188,-15.400,-17.000,-8.063,-15.400,0.0,
7.00,-17.000,17.000,-15.500,17.000,8.875,-15.500,17.000,-16.188,-15.500,-17.000,-8.063,-15.500,0.0,"chassis is in Gait 1 position in x, y, and z"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
